app,topic,qos_satisfied
app3,topic27,True
app4,topic6,True
app8,topic28,True
app5,topic19,True
app16,topic25,True
app3,topic23,True
app16,topic17,True
app12,topic18,True
app7,topic30,True
app9,topic12,True
app1,topic21,True
app12,topic13,True
app6,topic8,True
app9,topic10,True
app11,topic6,True
app14,topic20,True
app6,topic26,True
app13,topic19,True
app15,topic24,True
app9,topic2,True
app9,topic29,True
app14,topic8,True
app2,topic12,True
app15,topic11,True
app7,topic9,True
app11,topic13,True
app8,topic11,True
app1,topic26,True
app3,topic16,True
app13,topic4,True
app6,topic20,True
app10,topic18,True
app2,topic19,True
app7,topic1,True
app5,topic1,True
app6,topic5,True
app7,topic25,True
app1,topic14,True
app8,topic9,True
app10,topic13,True
app7,topic2,True
app8,topic7,True
app9,topic22,True
app16,topic14,True
app14,topic28,True
app8,topic21,True
app5,topic14,True
app2,topic22,True
app10,topic12,True
app3,topic1,True
app10,topic17,True
app16,topic30,True
app4,topic5,True
app12,topic11,True
app15,topic15,True
app13,topic2,True
app15,topic2,True
app11,topic29,True
app13,topic23,True
app2,topic9,True
app5,topic7,True
app5,topic22,True
app4,topic16,True
app15,topic30,True
app1,topic2,True
app11,topic26,True
app1,topic1,True
app12,topic7,True
app7,topic17,True
app14,topic24,True
app13,topic14,True
app2,topic3,True
app14,topic5,True
app4,topic27,True
app16,topic16,True
app4,topic21,True
app6,topic15,True
app3,topic3,True
app3,topic4,True
app11,topic10,True
