app,subscribed_topics,QoS_latency,QoS_throughput,QoS_dropping
app19,occupancymanagement|bms|amazonecho|,4,0,0
app18,printing|,4,0,0
app39,videosurveillance|,2,202,0.02
app38,videosurveillance|,2,202,0.02
app35,videosurveillance|smartthings|,0.4,28.8,0
app12,occupancymanagement|bms|energymanagement|printing|,4,0,0
app37,videosurveillance|,2,202,0.02
app10,firedetection|videosurveillance|amazonecho|energymanagement|bms|,1000,0,0
app17,bms|occupancymanagement|printing|,4,0,0
app30,firedetection|amazonecho|energymanagement|bms|,0.4,28.8,0
app33,firedetection|energymanagement|,0.4,28.8,0
app14,amazonecho|printing|smartthings|,4,0,0
app31,firedetection|,0.4,28.8,0
app48,occupancymanagement|,2,202,0.02
app49,videosurveillance|,2,202,0.02
app34,smartthings|occupancymanagement|,0.4,28.8,0
app40,intrusiondetection|,2,202,0.02
app41,intrusiondetection|,2,202,0.02
app42,occupancymanagement|,2,202,0.02
app43,occupancymanagement|,2,202,0.02
app44,occupancymanagement|,2,202,0.02
app11,smartthings|printing|,4,0,0
app46,videosurveillance|,2,202,0.02
app47,intrusiondetection|,2,202,0.02
app36,videosurveillance|intrusiondetection|,2,202,0.02
app28,smartthings|,0.4,28.8,0
app29,firedetection|,0.4,28.8,0
app26,videosurveillance|,0.4,28.8,0
app27,bms|amazonecho|,0.4,28.8,0
app24,intrusiondetection|energymanagement|,0.4,28.8,0
app25,firedetection|,0.4,28.8,0
app22,firedetection|,0.4,28.8,0
app23,firedetection|,0.4,28.8,0
app20,printing|,4,0,0
app21,occupancymanagement|amazonecho|intrusiondetection|smartthings|,0.4,28.8,0
app15,printing|,4,0,0
app13,printing|,4,0,0
app32,energymanagement|amazonecho|,0.4,28.8,0
app9,bms|energymanagement|smartthings|,1000,0,0
app8,occupancymanagement|smartthings|bms|energymanagement|amazonecho|,1000,0,0
app7,amazonecho|energymanagement|videosurveillance|firedetection|,1000,0,0
app6,energymanagement|intrusiondetection|,1000,0,0
app5,amazonecho|printing|occupancymanagement|energymanagement|,1000,0,0
app4,energymanagement|videosurveillance|printing|,1000,0,0
app3,smartthings|energymanagement|,1000,0,0
app2,intrusiondetection|energymanagement|printing|bms|,1000,0,0
app1,smartthings|bms|firedetection|energymanagement|,1000,0,0
app45,intrusiondetection|,2,202,0.02
app16,printing|,4,0,0
app50,occupancymanagement|videosurveillance|,2,202,0.02
