app,topic,qos_satisfied
app4,energymanagement,True
app22,firedetection,False
app45,intrusiondetection,False
app7,amazonecho,True
app1,smartthings,True
app48,occupancymanagement,False
app9,bms,True
app14,amazonecho,False
app30,firedetection,False
app18,printing,False
app35,videosurveillance,True
app29,firedetection,False
app14,printing,False
app37,videosurveillance,False
app12,occupancymanagement,False
app11,smartthings,False
app24,intrusiondetection,True
app5,amazonecho,True
app6,energymanagement,True
app21,occupancymanagement,True
app34,smartthings,True
app3,smartthings,True
app2,intrusiondetection,True
app39,videosurveillance,False
app16,printing,False
app9,energymanagement,True
app19,occupancymanagement,False
app11,printing,False
app17,bms,False
app41,intrusiondetection,False
app44,occupancymanagement,False
app8,occupancymanagement,True
app32,energymanagement,True
app33,firedetection,False
app28,smartthings,True
app49,videosurveillance,False
app27,bms,True
app1,bms,True
app24,energymanagement,True
app21,amazonecho,True
app7,energymanagement,True
app17,occupancymanagement,False
app30,amazonecho,True
app2,energymanagement,True
app50,occupancymanagement,False
app10,firedetection,True
app13,printing,False
app30,energymanagement,True
app32,amazonecho,True
app4,videosurveillance,True
app8,smartthings,True
app5,printing,True
app8,bms,True
app14,smartthings,False
app7,videosurveillance,True
app21,intrusiondetection,True
app17,printing,False
app36,videosurveillance,False
app3,energymanagement,True
app12,bms,False
app50,videosurveillance,False
app10,videosurveillance,True
app35,smartthings,False
app26,videosurveillance,True
app12,energymanagement,False
app10,amazonecho,True
app38,videosurveillance,False
app42,occupancymanagement,False
app15,printing,False
app1,firedetection,True
app21,smartthings,True
app34,occupancymanagement,True
app31,firedetection,False
app19,bms,False
app5,occupancymanagement,True
app10,energymanagement,True
app5,energymanagement,True
app20,printing,False
app2,printing,True
app10,bms,True
app8,energymanagement,True
app19,amazonecho,False
app2,bms,True
app46,videosurveillance,False
app25,firedetection,False
app43,occupancymanagement,False
app33,energymanagement,True
app7,firedetection,True
app9,smartthings,True
app47,intrusiondetection,False
app4,printing,True
app30,bms,True
app27,amazonecho,True
app36,intrusiondetection,False
app6,intrusiondetection,True
app12,printing,False
app1,energymanagement,True
app8,amazonecho,True
app40,intrusiondetection,False
app23,firedetection,False
