app,topic,qos_satisfied
app22,firedetection,False
app45,intrusiondetection,True
app4,energymanagement,True
app48,occupancymanagement,True
app1,smartthings,True
app14,amazonecho,False
app9,bms,True
app30,firedetection,False
app35,videosurveillance,True
app29,firedetection,False
app37,videosurveillance,True
app18,printing,False
app14,printing,False
app12,occupancymanagement,False
app11,smartthings,False
app5,amazonecho,True
app24,intrusiondetection,True
app6,energymanagement,True
app21,occupancymanagement,True
app34,smartthings,True
app3,smartthings,True
app16,printing,False
app39,videosurveillance,True
app2,intrusiondetection,True
app17,bms,False
app11,printing,False
app41,intrusiondetection,True
app44,occupancymanagement,True
app8,occupancymanagement,True
app32,energymanagement,True
app33,firedetection,False
app28,smartthings,True
app49,videosurveillance,True
app27,bms,True
app24,energymanagement,True
app21,amazonecho,True
app1,bms,True
app30,amazonecho,True
app17,occupancymanagement,False
app7,energymanagement,True
app2,energymanagement,True
app50,occupancymanagement,True
app10,firedetection,True
app13,printing,False
app30,energymanagement,True
app7,amazonecho,True
app32,amazonecho,True
app8,smartthings,True
app5,printing,True
app9,energymanagement,True
app4,videosurveillance,True
app8,bms,True
app7,videosurveillance,True
app21,intrusiondetection,True
app14,smartthings,False
app17,printing,False
app36,videosurveillance,True
app3,energymanagement,True
app12,bms,False
app10,videosurveillance,True
app50,videosurveillance,True
app35,smartthings,False
app26,videosurveillance,True
app12,energymanagement,False
app10,amazonecho,True
app38,videosurveillance,True
app42,occupancymanagement,True
app15,printing,False
app1,firedetection,True
app21,smartthings,True
app34,occupancymanagement,True
app31,firedetection,False
app19,bms,False
app5,energymanagement,True
app10,energymanagement,True
app19,occupancymanagement,False
app5,occupancymanagement,True
app20,printing,False
app2,printing,True
app8,energymanagement,True
app10,bms,True
app2,bms,True
app19,amazonecho,False
app46,videosurveillance,True
app25,firedetection,False
app43,occupancymanagement,True
app33,energymanagement,True
app7,firedetection,True
app9,smartthings,True
app47,intrusiondetection,True
app4,printing,True
app30,bms,True
app27,amazonecho,True
app36,intrusiondetection,True
app1,energymanagement,True
app6,intrusiondetection,True
app12,printing,False
app8,amazonecho,True
app40,intrusiondetection,True
app23,firedetection,False
