app,topic,qos_satisfied
app11,printing,False
app47,intrusiondetection,True
app17,bms,False
app35,videosurveillance,False
app19,bms,False
app8,amazonecho,True
app21,intrusiondetection,False
app10,amazonecho,True
app19,amazonecho,False
app31,firedetection,False
app50,videosurveillance,True
app3,smartthings,True
app17,printing,False
app25,firedetection,False
app39,videosurveillance,True
app5,printing,True
app24,energymanagement,False
app2,intrusiondetection,True
app43,occupancymanagement,False
app18,printing,False
app46,videosurveillance,True
app28,smartthings,False
app44,occupancymanagement,False
app29,firedetection,False
app2,energymanagement,True
app37,videosurveillance,True
app34,occupancymanagement,False
app12,energymanagement,False
app1,bms,True
app2,printing,True
app7,firedetection,True
app34,smartthings,False
app23,firedetection,False
app20,printing,False
app8,smartthings,True
app12,bms,False
app5,amazonecho,True
app8,occupancymanagement,True
app14,smartthings,False
app8,bms,True
app14,printing,False
app30,firedetection,False
app38,videosurveillance,True
app6,energymanagement,True
app9,smartthings,True
app9,bms,True
app12,occupancymanagement,False
app42,occupancymanagement,False
app14,amazonecho,False
app10,energymanagement,True
app21,smartthings,False
app7,amazonecho,True
app11,smartthings,False
app3,energymanagement,True
app10,bms,True
app50,occupancymanagement,False
app24,intrusiondetection,False
app36,intrusiondetection,True
app13,printing,False
app19,occupancymanagement,False
app30,energymanagement,False
app21,amazonecho,False
app4,videosurveillance,True
app48,occupancymanagement,False
app22,firedetection,False
app33,firedetection,False
app7,energymanagement,True
app36,videosurveillance,True
app32,energymanagement,False
app15,printing,False
app12,printing,False
app1,energymanagement,True
app32,amazonecho,False
app27,amazonecho,False
app33,energymanagement,False
app30,bms,False
app7,videosurveillance,True
app17,occupancymanagement,False
app6,intrusiondetection,True
app1,firedetection,True
app49,videosurveillance,True
app5,occupancymanagement,True
app1,smartthings,True
app41,intrusiondetection,True
app30,amazonecho,False
app27,bms,False
app8,energymanagement,True
app21,occupancymanagement,False
app10,firedetection,True
app26,videosurveillance,False
app40,intrusiondetection,True
app5,energymanagement,True
app10,videosurveillance,True
app4,printing,True
app4,energymanagement,True
app9,energymanagement,True
app16,printing,False
app2,bms,True
app35,smartthings,False
app45,intrusiondetection,True
