"name","referenceClass","Value"
"outputQueue_Utilization","","0.8085417890296634"
"outputQueue_topic_bms_app_app12_TS0_class_Utilization","topic_bms_app_app12_TS0_class","0.023094284169448663"
"outputQueue_topic_intrusiondetection_app_app21_RT0_class_Utilization","topic_intrusiondetection_app_app21_RT0_class","0.06927431233344275"
"outputQueue_topic_firedetection_app_app22_RT0_class_Utilization","topic_firedetection_app_app22_RT0_class","2.842122400028002E-4"
"outputQueue_topic_smartthings_app_app14_TS0_class_Utilization","topic_smartthings_app_app14_TS0_class","3.079230188871536E-4"
"outputQueue_topic_printing_app_app15_TS0_class_Utilization","topic_printing_app_app15_TS0_class","8.807710720554089E-4"
"outputQueue_topic_energymanagement_app_app4_AN0_class_Utilization","topic_energymanagement_app_app4_AN0_class","0.0048627442492601815"
"outputQueue_topic_energymanagement_app_app3_AN0_class_Utilization","topic_energymanagement_app_app3_AN0_class","0.0047621342098138715"
"outputQueue_topic_amazonecho_app_app14_TS0_class_Utilization","topic_amazonecho_app_app14_TS0_class","1.3894642289225952E-4"
"outputQueue_topic_smartthings_app_app1_AN0_class_Utilization","topic_smartthings_app_app1_AN0_class","3.0792383276557567E-4"
"outputQueue_topic_firedetection_app_app29_RT0_class_Utilization","topic_firedetection_app_app29_RT0_class","2.842107230794905E-4"
"outputQueue_topic_printing_app_app14_TS0_class_Utilization","topic_printing_app_app14_TS0_class","8.990207711477422E-4"
"outputQueue_topic_videosurveillance_app_app37_VS0_class_Utilization","topic_videosurveillance_app_app37_VS0_class","0.020373620718711124"
"outputQueue_topic_smartthings_app_app11_TS0_class_Utilization","topic_smartthings_app_app11_TS0_class","3.0792179807758737E-4"
"outputQueue_topic_videosurveillance_app_app26_RT0_class_Utilization","topic_videosurveillance_app_app26_RT0_class","0.020629586717100065"
"outputQueue_topic_energymanagement_app_app6_AN0_class_Utilization","topic_energymanagement_app_app6_AN0_class","0.0048623641272673105"
"outputQueue_topic_energymanagement_app_app12_TS0_class_Utilization","topic_energymanagement_app_app12_TS0_class","0.004860237494410944"
"outputQueue_topic_videosurveillance_app_app38_VS0_class_Utilization","topic_videosurveillance_app_app38_VS0_class","0.020758493645133172"
