app,topic,qos_satisfied
app8,amazonecho,True
app45,intrusiondetection,False
app12,bms,True
app8,bms,True
app21,intrusiondetection,False
app7,videosurveillance,True
app22,firedetection,False
app14,smartthings,True
app17,printing,True
app15,printing,True
app4,energymanagement,True
app3,energymanagement,True
app7,amazonecho,True
app14,amazonecho,True
app30,firedetection,False
app1,smartthings,True
app18,printing,True
app29,firedetection,False
app14,printing,True
app37,videosurveillance,False
app11,smartthings,True
app26,videosurveillance,False
app6,energymanagement,True
app12,energymanagement,True
app38,videosurveillance,False
app12,occupancymanagement,True
app5,amazonecho,True
app24,intrusiondetection,False
app42,occupancymanagement,False
app27,firedetection,False
app21,occupancymanagement,False
app21,smartthings,False
app1,firedetection,True
app3,smartthings,True
app31,firedetection,False
app2,intrusiondetection,True
app39,videosurveillance,False
app16,printing,True
app5,energymanagement,True
app5,occupancymanagement,True
app11,printing,True
app17,bms,True
app2,printing,True
app8,occupancymanagement,True
app44,occupancymanagement,False
app41,intrusiondetection,False
app32,energymanagement,False
app28,smartthings,False
app43,occupancymanagement,False
app8,energymanagement,True
app2,bms,True
app27,bms,False
app46,videosurveillance,False
app1,bms,True
app24,energymanagement,False
app21,amazonecho,False
app25,firedetection,False
app17,occupancymanagement,True
app7,energymanagement,True
app30,amazonecho,False
app7,firedetection,True
app27,energymanagement,False
app47,intrusiondetection,False
app13,printing,True
app30,energymanagement,False
app2,energymanagement,True
app36,videosurveillance,False
app4,printing,True
app30,bms,False
app27,amazonecho,False
app36,intrusiondetection,False
app32,amazonecho,False
app6,intrusiondetection,True
app12,printing,True
app1,energymanagement,True
app40,intrusiondetection,False
app8,smartthings,True
app4,videosurveillance,True
app23,firedetection,False
app5,printing,True
