"name","referenceClass","Value"
"outputQueue_Utilization","","0.9191907601989024"
"outputQueue_topic_amazonecho_app_app8_AN0_class_Utilization","topic_amazonecho_app_app8_AN0_class","1.1858725613806926E-4"
"outputQueue_topic_intrusiondetection_app_app45_VS0_class_Utilization","topic_intrusiondetection_app_app45_VS0_class","0.05904232139826851"
"outputQueue_topic_bms_app_app12_TS0_class_Utilization","topic_bms_app_app12_TS0_class","0.023022787476998124"
"outputQueue_topic_bms_app_app8_AN0_class_Utilization","topic_bms_app_app8_AN0_class","0.01937362441381345"
"outputQueue_topic_intrusiondetection_app_app21_RT0_class_Utilization","topic_intrusiondetection_app_app21_RT0_class","0.0695615381897077"
"outputQueue_topic_videosurveillance_app_app7_AN0_class_Utilization","topic_videosurveillance_app_app7_AN0_class","0.017601795927087723"
"outputQueue_topic_firedetection_app_app22_RT0_class_Utilization","topic_firedetection_app_app22_RT0_class","2.4339176870728766E-4"
"outputQueue_topic_smartthings_app_app14_TS0_class_Utilization","topic_smartthings_app_app14_TS0_class","2.9958441411291175E-4"
"outputQueue_topic_printing_app_app17_TS0_class_Utilization","topic_printing_app_app17_TS0_class","8.025335454822817E-4"
"outputQueue_topic_printing_app_app15_TS0_class_Utilization","topic_printing_app_app15_TS0_class","7.806687776196074E-4"
"outputQueue_topic_energymanagement_app_app4_AN0_class_Utilization","topic_energymanagement_app_app4_AN0_class","0.00391917596252275"
"outputQueue_topic_energymanagement_app_app3_AN0_class_Utilization","topic_energymanagement_app_app3_AN0_class","0.003997460310175035"
"outputQueue_topic_amazonecho_app_app7_AN0_class_Utilization","topic_amazonecho_app_app7_AN0_class","1.2385910646524087E-4"
"outputQueue_topic_amazonecho_app_app14_TS0_class_Utilization","topic_amazonecho_app_app14_TS0_class","1.3703452377178676E-4"
"outputQueue_topic_firedetection_app_app30_RT0_class_Utilization","topic_firedetection_app_app30_RT0_class","2.4074365839419834E-4"
"outputQueue_topic_smartthings_app_app1_AN0_class_Utilization","topic_smartthings_app_app1_AN0_class","2.5753680200923436E-4"
"outputQueue_topic_printing_app_app18_TS0_class_Utilization","topic_printing_app_app18_TS0_class","7.893897203772009E-4"
"outputQueue_topic_firedetection_app_app29_RT0_class_Utilization","topic_firedetection_app_app29_RT0_class","2.460366805051366E-4"
"outputQueue_topic_printing_app_app14_TS0_class_Utilization","topic_printing_app_app14_TS0_class","8.025356571602695E-4"
"outputQueue_topic_videosurveillance_app_app37_VS0_class_Utilization","topic_videosurveillance_app_app37_VS0_class","0.01761843658731456"
"outputQueue_topic_smartthings_app_app11_TS0_class_Utilization","topic_smartthings_app_app11_TS0_class","2.943262267894838E-4"
"outputQueue_topic_videosurveillance_app_app26_RT0_class_Utilization","topic_videosurveillance_app_app26_RT0_class","0.020680406969559355"
"outputQueue_topic_energymanagement_app_app6_AN0_class_Utilization","topic_energymanagement_app_app6_AN0_class","0.003994378584697273"
"outputQueue_topic_energymanagement_app_app12_TS0_class_Utilization","topic_energymanagement_app_app12_TS0_class","0.004740911646561171"
"outputQueue_topic_videosurveillance_app_app38_VS0_class_Utilization","topic_videosurveillance_app_app38_VS0_class","0.017524442221076138"
"outputQueue_topic_occupancymanagement_app_app12_TS0_class_Utilization","topic_occupancymanagement_app_app12_TS0_class","4.1039734422207457E-4"
"outputQueue_topic_amazonecho_app_app5_AN0_class_Utilization","topic_amazonecho_app_app5_AN0_class","1.1068289746022325E-4"
"outputQueue_topic_intrusiondetection_app_app24_RT0_class_Utilization","topic_intrusiondetection_app_app24_RT0_class","0.06940913412630016"
"outputQueue_topic_occupancymanagement_app_app42_VS0_class_Utilization","topic_occupancymanagement_app_app42_VS0_class","3.3410816709953544E-4"
"outputQueue_topic_firedetection_app_app27_RT0_class_Utilization","topic_firedetection_app_app27_RT0_class","2.4074302150017934E-4"
"outputQueue_topic_occupancymanagement_app_app21_RT0_class_Utilization","topic_occupancymanagement_app_app21_RT0_class","4.0776766475123205E-4"
"outputQueue_topic_smartthings_app_app21_RT0_class_Utilization","topic_smartthings_app_app21_RT0_class","2.969549199002673E-4"
"outputQueue_topic_firedetection_app_app1_AN0_class_Utilization","topic_firedetection_app_app1_AN0_class","1.85185959786108E-4"
"outputQueue_topic_smartthings_app_app3_AN0_class_Utilization","topic_smartthings_app_app3_AN0_class","2.616048030064325E-4"
"outputQueue_topic_firedetection_app_app31_RT0_class_Utilization","topic_firedetection_app_app31_RT0_class","2.4074493219234592E-4"
"outputQueue_topic_intrusiondetection_app_app2_AN0_class_Utilization","topic_intrusiondetection_app_app2_AN0_class","0.05871476030070565"
"outputQueue_topic_videosurveillance_app_app39_VS0_class_Utilization","topic_videosurveillance_app_app39_VS0_class","0.01752583982626037"
"outputQueue_topic_printing_app_app16_TS0_class_Utilization","topic_printing_app_app16_TS0_class","7.893814119829377E-4"
"outputQueue_topic_energymanagement_app_app5_AN0_class_Utilization","topic_energymanagement_app_app5_AN0_class","0.004048999302543013"
"outputQueue_topic_occupancymanagement_app_app5_AN0_class_Utilization","topic_occupancymanagement_app_app5_AN0_class","3.5515061357110797E-4"
"outputQueue_topic_printing_app_app11_TS0_class_Utilization","topic_printing_app_app11_TS0_class","7.920251875554276E-4"
"outputQueue_topic_bms_app_app17_TS0_class_Utilization","topic_bms_app_app17_TS0_class","0.023137600622003016"
"outputQueue_topic_printing_app_app2_AN0_class_Utilization","topic_printing_app_app2_AN0_class","6.683376530790762E-4"
"outputQueue_topic_occupancymanagement_app_app8_AN0_class_Utilization","topic_occupancymanagement_app_app8_AN0_class","3.472611183806339E-4"
"outputQueue_topic_occupancymanagement_app_app44_VS0_class_Utilization","topic_occupancymanagement_app_app44_VS0_class","3.3937149865699925E-4"
"outputQueue_topic_intrusiondetection_app_app41_VS0_class_Utilization","topic_intrusiondetection_app_app41_VS0_class","0.058861552903686734"
"outputQueue_topic_energymanagement_app_app32_RT0_class_Utilization","topic_energymanagement_app_app32_RT0_class","0.004717430570657898"
"outputQueue_topic_smartthings_app_app28_RT0_class_Utilization","topic_smartthings_app_app28_RT0_class","2.9695804142775066E-4"
"outputQueue_topic_occupancymanagement_app_app43_VS0_class_Utilization","topic_occupancymanagement_app_app43_VS0_class","3.393706058448498E-4"
"outputQueue_topic_energymanagement_app_app8_AN0_class_Utilization","topic_energymanagement_app_app8_AN0_class","0.003976441405775415"
"outputQueue_topic_bms_app_app2_AN0_class_Utilization","topic_bms_app_app2_AN0_class","0.019414973608719598"
"outputQueue_topic_bms_app_app27_RT0_class_Utilization","topic_bms_app_app27_RT0_class","0.02295204041591245"
"outputQueue_topic_videosurveillance_app_app46_VS0_class_Utilization","topic_videosurveillance_app_app46_VS0_class","0.017663812252817487"
"outputQueue_topic_bms_app_app1_AN0_class_Utilization","topic_bms_app_app1_AN0_class","0.01942822784799888"
"outputQueue_topic_energymanagement_app_app24_RT0_class_Utilization","topic_energymanagement_app_app24_RT0_class","0.0047082307763053385"
"outputQueue_topic_amazonecho_app_app21_RT0_class_Utilization","topic_amazonecho_app_app21_RT0_class","1.3703380152710473E-4"
"outputQueue_topic_firedetection_app_app25_RT0_class_Utilization","topic_firedetection_app_app25_RT0_class","2.4338983699806227E-4"
"outputQueue_topic_occupancymanagement_app_app17_TS0_class_Utilization","topic_occupancymanagement_app_app17_TS0_class","4.077730285142765E-4"
"outputQueue_topic_energymanagement_app_app7_AN0_class_Utilization","topic_energymanagement_app_app7_AN0_class","0.004116751230504085"
"outputQueue_topic_amazonecho_app_app30_RT0_class_Utilization","topic_amazonecho_app_app30_RT0_class","1.3703344040761866E-4"
"outputQueue_topic_firedetection_app_app7_AN0_class_Utilization","topic_firedetection_app_app7_AN0_class","2.0344468767747733E-4"
"outputQueue_topic_energymanagement_app_app27_RT0_class_Utilization","topic_energymanagement_app_app27_RT0_class","0.004718113467320525"
"outputQueue_topic_intrusiondetection_app_app47_VS0_class_Utilization","topic_intrusiondetection_app_app47_VS0_class","0.058562561044155435"
"outputQueue_topic_printing_app_app13_TS0_class_Utilization","topic_printing_app_app13_TS0_class","7.92023103494845E-4"
"outputQueue_topic_energymanagement_app_app30_RT0_class_Utilization","topic_energymanagement_app_app30_RT0_class","0.004708133875120794"
"outputQueue_topic_energymanagement_app_app2_AN0_class_Utilization","topic_energymanagement_app_app2_AN0_class","0.003984080332384279"
"outputQueue_topic_videosurveillance_app_app36_VS0_class_Utilization","topic_videosurveillance_app_app36_VS0_class","0.01748345941247981"
"outputQueue_topic_printing_app_app4_AN0_class_Utilization","topic_printing_app_app4_AN0_class","6.724871193563166E-4"
"outputQueue_topic_bms_app_app30_RT0_class_Utilization","topic_bms_app_app30_RT0_class","0.023049072375483093"
"outputQueue_topic_amazonecho_app_app27_RT0_class_Utilization","topic_amazonecho_app_app27_RT0_class","1.3703488489698275E-4"
"outputQueue_topic_intrusiondetection_app_app36_VS0_class_Utilization","topic_intrusiondetection_app_app36_VS0_class","0.05863535802588245"
"outputQueue_topic_amazonecho_app_app32_RT0_class_Utilization","topic_amazonecho_app_app32_RT0_class","1.3703524602408208E-4"
"outputQueue_topic_intrusiondetection_app_app6_AN0_class_Utilization","topic_intrusiondetection_app_app6_AN0_class","0.05882710417338319"
"outputQueue_topic_printing_app_app12_TS0_class_Utilization","topic_printing_app_app12_TS0_class","7.972815196948339E-4"
"outputQueue_topic_energymanagement_app_app1_AN0_class_Utilization","topic_energymanagement_app_app1_AN0_class","0.003968599078170705"
"outputQueue_topic_intrusiondetection_app_app40_VS0_class_Utilization","topic_intrusiondetection_app_app40_VS0_class","0.05877437864825339"
"outputQueue_topic_smartthings_app_app8_AN0_class_Utilization","topic_smartthings_app_app8_AN0_class","2.5228227486569384E-4"
"outputQueue_topic_videosurveillance_app_app4_AN0_class_Utilization","topic_videosurveillance_app_app4_AN0_class","0.017654285460481832"
"outputQueue_topic_firedetection_app_app23_RT0_class_Utilization","topic_firedetection_app_app23_RT0_class","2.4338790531949916E-4"
"outputQueue_topic_printing_app_app5_AN0_class_Utilization","topic_printing_app_app5_AN0_class","6.741515876668592E-4"
