app,topic,qos_satisfied
app8,amazonecho,True
app14,smartthings,False
app21,intrusiondetection,False
app8,bms,True
app7,videosurveillance,True
app30,firedetection,False
app22,firedetection,False
app45,intrusiondetection,False
app17,printing,False
app4,energymanagement,True
app3,energymanagement,True
app7,amazonecho,True
app36,videosurveillance,False
app14,amazonecho,False
app1,smartthings,True
app29,firedetection,False
app18,printing,False
app12,bms,False
app14,printing,False
app37,videosurveillance,False
app26,videosurveillance,False
app12,occupancymanagement,False
app11,smartthings,False
app6,energymanagement,True
app24,intrusiondetection,False
app12,energymanagement,False
app5,amazonecho,True
app38,videosurveillance,False
app42,occupancymanagement,False
app15,printing,False
app21,occupancymanagement,False
app1,firedetection,True
app3,smartthings,True
app21,smartthings,False
app31,firedetection,False
app2,intrusiondetection,True
app27,firedetection,False
app5,energymanagement,True
app39,videosurveillance,False
app16,printing,False
app5,occupancymanagement,True
app11,printing,False
app17,bms,False
app41,intrusiondetection,False
app2,printing,True
app44,occupancymanagement,False
app8,occupancymanagement,True
app32,energymanagement,False
app8,energymanagement,True
app2,bms,True
app27,bms,False
app1,bms,True
app46,videosurveillance,False
app24,energymanagement,False
app21,amazonecho,False
app30,amazonecho,False
app17,occupancymanagement,False
app7,energymanagement,True
app25,firedetection,False
app28,smartthings,False
app43,occupancymanagement,False
app27,energymanagement,False
app7,firedetection,True
app13,printing,False
app47,intrusiondetection,False
app30,energymanagement,False
app2,energymanagement,True
app4,printing,True
app30,bms,False
app36,intrusiondetection,False
app27,amazonecho,False
app23,firedetection,False
app6,intrusiondetection,True
app1,energymanagement,True
app12,printing,False
app8,smartthings,True
app4,videosurveillance,True
app40,intrusiondetection,False
app5,printing,True
app32,amazonecho,False
